case_id,activity,timestamp,resource,lifecycle
case-10059,T05 Print and send confirmation of receipt,2011-10-17T15:33:42.796+02:00,Resource06,complete
case-10059,T06 Determine necessity of stop advice,2011-10-17T15:34:25.518+02:00,Resource06,complete
case-10059,T10 Determine necessity to stop indication,2011-10-17T15:41:19.472+02:00,Resource06,complete
case-10061,Confirmation of receipt,2011-10-24T15:00:50.433+02:00,Resource03,complete
case-10061,T06 Determine necessity of stop advice,2011-10-24T15:01:21.907+02:00,Resource03,complete
case-10061,T10 Determine necessity to stop indication,2011-10-24T15:01:44.536+02:00,Resource03,complete
case-10061,T02 Check confirmation of receipt,2011-10-24T15:01:59.826+02:00,Resource03,complete
case-10061,T04 Determine confirmation of receipt,2011-10-24T15:02:16.227+02:00,Resource03,complete
case-10061,T05 Print and send confirmation of receipt,2011-10-24T15:02:32.399+02:00,Resource03,complete
case-10062,Confirmation of receipt,2011-10-18T13:34:39.087+02:00,admin2,complete
case-10065,Confirmation of receipt,2011-10-28T10:31:29.136+02:00,Resource06,complete
case-10065,T02 Check confirmation of receipt,2011-10-28T10:31:49.811+02:00,Resource06,complete
case-10065,T04 Determine confirmation of receipt,2011-10-28T10:32:08.374+02:00,Resource06,complete
case-10065,T05 Print and send confirmation of receipt,2011-10-28T10:32:49.753+02:00,Resource06,complete
case-10065,T06 Determine necessity of stop advice,2011-10-28T10:45:06.394+02:00,Resource06,complete
case-10065,T10 Determine necessity to stop indication,2011-10-28T11:01:50.118+02:00,Resource06,complete
case-10066,Confirmation of receipt,2011-11-22T13:46:36.256+01:00,Resource22,complete
case-10066,T02 Check confirmation of receipt,2011-11-22T13:48:39.989+01:00,Resource22,complete
case-10066,T04 Determine confirmation of receipt,2011-11-22T13:49:21.982+01:00,Resource22,complete
case-10066,T05 Print and send confirmation of receipt,2011-11-22T13:52:51.629+01:00,Resource22,complete
case-10066,T06 Determine necessity of stop advice,2011-11-22T13:57:59.101+01:00,Resource22,complete
case-10066,T10 Determine necessity to stop indication,2011-11-22T13:59:50.916+01:00,Resource22,complete
case-10067,Confirmation of receipt,2011-11-09T20:39:03.392+01:00,Resource13,complete
case-10067,T02 Check confirmation of receipt,2011-11-09T20:39:34.137+01:00,Resource13,complete
case-10067,T04 Determine confirmation of receipt,2011-11-09T20:40:02.334+01:00,Resource13,complete
case-10067,T05 Print and send confirmation of receipt,2011-11-09T20:40:26.677+01:00,Resource13,complete
case-10067,T06 Determine necessity of stop advice,2011-11-09T20:40:49.698+01:00,Resource13,complete
case-10067,T10 Determine necessity to stop indication,2011-11-09T20:41:13.745+01:00,Resource13,complete
case-10068,Confirmation of receipt,2011-10-20T12:39:37.946+02:00,Resource20,complete
case-10068,T02 Check confirmation of receipt,2011-10-20T12:40:07.912+02:00,Resource20,complete
case-10068,T04 Determine confirmation of receipt,2011-10-20T12:40:31.903+02:00,Resource20,complete
case-10068,T05 Print and send confirmation of receipt,2011-10-20T12:41:02.031+02:00,Resource20,complete
case-10068,T06 Determine necessity of stop advice,2011-10-20T12:41:28.600+02:00,Resource20,complete
case-10068,T10 Determine necessity to stop indication,2011-10-20T12:42:01.990+02:00,Resource20,complete
case-10069,Confirmation of receipt,2011-11-07T15:10:10.205+01:00,Resource08,complete
case-10069,T02 Check confirmation of receipt,2011-11-07T15:11:51.689+01:00,Resource08,complete
case-10069,T04 Determine confirmation of receipt,2011-11-07T15:12:53.254+01:00,Resource08,complete
case-10069,T05 Print and send confirmation of receipt,2011-11-07T15:13:17.976+01:00,Resource08,complete
case-10069,T06 Determine necessity of stop advice,2011-11-07T15:14:49.848+01:00,Resource08,complete
case-10069,T10 Determine necessity to stop indication,2011-11-07T15:16:47.427+01:00,Resource08,complete
case-10070,Confirmation of receipt,2011-11-09T19:43:25.050+01:00,Resource13,complete
case-10070,T06 Determine necessity of stop advice,2011-11-09T19:43:50.463+01:00,Resource13,complete
case-10070,T02 Check confirmation of receipt,2011-11-09T19:44:27.071+01:00,Resource13,complete
case-10070,T04 Determine confirmation of receipt,2011-11-09T19:44:58.894+01:00,Resource13,complete
case-10070,T10 Determine necessity to stop indication,2011-11-09T19:45:21.385+01:00,Resource13,complete
case-10070,T05 Print and send confirmation of receipt,2011-11-09T19:48:48.443+01:00,Resource13,complete
case-10071,Confirmation of receipt,2011-10-19T09:56:55.204+02:00,Resource21,complete
case-10071,T02 Check confirmation of receipt,2011-10-19T09:57:39.722+02:00,Resource21,complete
case-10071,T04 Determine confirmation of receipt,2011-10-19T09:58:15.323+02:00,Resource21,complete
case-10071,T05 Print and send confirmation of receipt,2011-10-19T09:58:36.018+02:00,Resource21,complete
case-10071,T06 Determine necessity of stop advice,2011-10-19T09:58:54.326+02:00,Resource21,complete
case-10071,T10 Determine necessity to stop indication,2011-10-20T14:06:59.060+02:00,Resource21,complete
case-10071,T11 Create document X request unlicensed,2012-01-18T09:48:33.680+01:00,Resource21,complete
case-10071,T12 Check document X request unlicensed,2012-01-18T09:49:09.359+01:00,Resource21,complete
case-10071,T14 Determine document X request unlicensed,2012-01-18T09:49:44.753+01:00,Resource21,complete
case-10071,T15 Print document X request unlicensed,2012-01-18T09:50:57.577+01:00,Resource21,complete
case-10072,Confirmation of receipt,2011-10-31T11:09:14.275+01:00,Resource02,complete
case-10072,T02 Check confirmation of receipt,2011-10-31T11:10:03.929+01:00,Resource02,complete
case-10072,T04 Determine confirmation of receipt,2011-10-31T11:10:37.260+01:00,Resource02,complete
case-10072,T05 Print and send confirmation of receipt,2011-10-31T11:10:54.423+01:00,Resource02,complete
case-10072,T06 Determine necessity of stop advice,2011-10-31T11:36:38.174+01:00,Resource02,complete
case-10072,T10 Determine necessity to stop indication,2011-10-31T11:37:11.319+01:00,Resource02,complete
case-10073,Confirmation of receipt,2011-11-29T14:28:08.930+01:00,Resource22,complete
case-10073,T02 Check confirmation of receipt,2011-11-29T14:40:03.247+01:00,Resource22,complete
case-10073,T04 Determine confirmation of receipt,2011-11-29T14:40:32.371+01:00,Resource22,complete
case-10073,T05 Print and send confirmation of receipt,2011-11-29T14:41:12.227+01:00,Resource22,complete
case-10073,T06 Determine necessity of stop advice,2011-11-29T14:42:10.340+01:00,Resource22,complete
case-10073,T07-1 Draft intern advice aspect 1,2011-11-30T10:53:50.203+01:00,Resource22,complete
case-10073,T08 Draft and send request for advice,2011-11-30T10:54:46.581+01:00,Resource22,complete
case-10073,T09-1 Process or receive external advice from party 1,2011-11-30T11:02:33.530+01:00,Resource22,complete
case-10073,T06 Determine necessity of stop advice,2011-11-30T11:04:28.307+01:00,Resource22,complete
case-10073,T10 Determine necessity to stop indication,2011-11-30T11:05:12.807+01:00,Resource22,complete
case-10075,Confirmation of receipt,2011-10-20T11:57:52.783+02:00,admin2,complete
case-10087,Confirmation of receipt,2011-10-24T15:57:27.372+02:00,Resource03,complete
case-10087,T02 Check confirmation of receipt,2011-10-24T15:57:45.747+02:00,Resource03,complete
case-10087,T04 Determine confirmation of receipt,2011-10-24T15:58:02.043+02:00,Resource03,complete
case-10087,T05 Print and send confirmation of receipt,2011-10-24T15:58:19.298+02:00,Resource03,complete
case-10087,T06 Determine necessity of stop advice,2011-10-24T15:58:34.305+02:00,Resource03,complete
case-10087,T10 Determine necessity to stop indication,2011-10-24T15:58:55.006+02:00,Resource03,complete
case-10089,Confirmation of receipt,2011-10-18T16:12:35.899+02:00,Resource20,complete
case-10089,T02 Check confirmation of receipt,2011-10-18T16:14:00.020+02:00,Resource20,complete
case-10089,T04 Determine confirmation of receipt,2011-10-18T16:14:55.271+02:00,Resource20,complete
case-10089,T05 Print and send confirmation of receipt,2011-10-18T16:15:26.326+02:00,Resource20,complete
case-10089,T06 Determine necessity of stop advice,2011-10-18T16:16:01.203+02:00,Resource20,complete
case-10089,T10 Determine necessity to stop indication,2011-10-18T16:16:30.526+02:00,Resource20,complete
case-10089,T11 Create document X request unlicensed,2011-10-24T12:02:20.931+02:00,admin2,complete
case-10090,Confirmation of receipt,2011-10-24T16:25:16.886+02:00,Resource03,complete
case-10090,T02 Check confirmation of receipt,2011-10-24T16:25:48.093+02:00,Resource03,complete
case-10090,T04 Determine confirmation of receipt,2011-10-24T16:26:08.810+02:00,Resource03,complete
case-10090,T05 Print and send confirmation of receipt,2011-10-24T16:26:35.495+02:00,Resource03,complete
case-10090,T06 Determine necessity of stop advice,2011-10-24T16:27:22.161+02:00,Resource03,complete
case-10090,T10 Determine necessity to stop indication,2011-10-24T16:27:44.390+02:00,Resource03,complete
case-10094,Confirmation of receipt,2011-10-25T15:07:27.732+02:00,Resource03,complete
case-10094,T02 Check confirmation of receipt,2011-10-25T15:07:50.830+02:00,Resource03,complete
case-10094,T04 Determine confirmation of receipt,2011-10-25T15:08:07.876+02:00,Resource03,complete
case-10094,T05 Print and send confirmation of receipt,2011-10-25T15:08:27.483+02:00,Resource03,complete
case-10094,T06 Determine necessity of stop advice,2011-10-25T15:08:48.537+02:00,Resource03,complete
case-10094,T10 Determine necessity to stop indication,2011-10-25T15:09:15.981+02:00,Resource03,complete
case-10095,Confirmation of receipt,2011-11-14T09:26:07.385+01:00,admin2,complete
case-10098,Confirmation of receipt,2011-10-25T16:06:58.586+02:00,Resource03,complete
case-10098,T02 Check confirmation of receipt,2011-10-25T16:07:20.077+02:00,Resource03,complete
case-10098,T04 Determine confirmation of receipt,2011-10-25T16:07:48.289+02:00,Resource03,complete
case-10098,T05 Print and send confirmation of receipt,2011-10-25T16:08:23.484+02:00,Resource03,complete
case-10098,T06 Determine necessity of stop advice,2011-10-25T16:08:54.842+02:00,Resource03,complete
case-10098,T10 Determine necessity to stop indication,2011-10-25T16:09:21.982+02:00,Resource03,complete
case-10099,Confirmation of receipt,2011-10-26T09:04:38.421+02:00,Resource03,complete
case-10099,T02 Check confirmation of receipt,2011-10-26T09:04:58.466+02:00,Resource03,complete
case-10099,T04 Determine confirmation of receipt,2011-10-26T09:05:15.074+02:00,Resource03,complete
case-10099,T05 Print and send confirmation of receipt,2011-10-26T09:05:29.235+02:00,Resource03,complete
case-10099,T06 Determine necessity of stop advice,2011-10-26T09:05:43.792+02:00,Resource03,complete
case-10099,T10 Determine necessity to stop indication,2011-10-26T09:07:16.656+02:00,Resource03,complete
case-10101,Confirmation of receipt,2011-10-26T11:44:51.917+02:00,Resource03,complete
case-10101,T02 Check confirmation of receipt,2011-10-26T11:45:23.672+02:00,Resource03,complete
case-10101,T04 Determine confirmation of receipt,2011-10-26T11:45:54.899+02:00,Resource03,complete
case-10101,T05 Print and send confirmation of receipt,2011-10-26T11:46:16.939+02:00,Resource03,complete
case-10101,T06 Determine necessity of stop advice,2011-10-26T11:46:40.098+02:00,Resource03,complete
case-10101,T10 Determine necessity to stop indication,2011-10-26T11:47:15.161+02:00,Resource03,complete
case-10102,Confirmation of receipt,2011-10-20T11:06:16.081+02:00,Resource02,complete
case-10102,T02 Check confirmation of receipt,2011-10-27T13:46:27.098+02:00,Resource02,complete
case-10102,T04 Determine confirmation of receipt,2011-10-27T13:46:49.205+02:00,Resource02,complete
case-10102,T05 Print and send confirmation of receipt,2011-10-27T15:11:16.295+02:00,admin1,complete
case-10102,T06 Determine necessity of stop advice,2011-11-17T08:13:20.068+01:00,Resource02,complete
case-10102,T10 Determine necessity to stop indication,2011-11-17T08:14:21.708+01:00,Resource02,complete
case-10103,Confirmation of receipt,2011-11-15T07:20:14.205+01:00,Resource02,complete
case-10103,T02 Check confirmation of receipt,2011-11-15T07:20:38.880+01:00,Resource02,complete
case-10103,T04 Determine confirmation of receipt,2011-11-15T07:21:00.327+01:00,Resource02,complete
case-10103,T05 Print and send confirmation of receipt,2011-11-15T07:21:22.524+01:00,Resource02,complete
case-10103,T06 Determine necessity of stop advice,2011-11-15T07:42:16.335+01:00,Resource02,complete
case-10103,T10 Determine necessity to stop indication,2011-11-15T07:42:43.828+01:00,Resource02,complete
case-10105,Confirmation of receipt,2011-10-26T14:45:46.454+02:00,Resource03,complete
case-10105,T02 Check confirmation of receipt,2011-10-26T14:46:05.211+02:00,Resource03,complete
case-10105,T04 Determine confirmation of receipt,2011-10-26T14:46:20.612+02:00,Resource03,complete
case-10105,T05 Print and send confirmation of receipt,2011-10-26T14:46:39.019+02:00,Resource03,complete
case-10105,T06 Determine necessity of stop advice,2011-10-26T14:46:55.969+02:00,Resource03,complete
case-10105,T10 Determine necessity to stop indication,2011-10-26T14:47:17.500+02:00,Resource03,complete
case-10120,Confirmation of receipt,2011-10-25T09:56:31.704+02:00,Resource05,complete
case-10120,T02 Check confirmation of receipt,2011-10-25T09:57:00.379+02:00,Resource05,complete
case-10120,T04 Determine confirmation of receipt,2011-10-25T11:34:25.395+02:00,Resource05,complete
case-10120,T05 Print and send confirmation of receipt,2011-10-25T11:34:46.250+02:00,Resource05,complete
case-10120,T06 Determine necessity of stop advice,2011-10-25T11:35:58.954+02:00,Resource05,complete
case-10120,T10 Determine necessity to stop indication,2011-10-25T13:45:05.459+02:00,Resource05,complete
case-10127,Confirmation of receipt,2011-10-27T08:37:51.459+02:00,Resource06,complete
case-10127,T02 Check confirmation of receipt,2011-10-27T08:38:11.536+02:00,Resource06,complete
case-10127,T04 Determine confirmation of receipt,2011-10-27T08:38:39.137+02:00,Resource06,complete
case-10127,T05 Print and send confirmation of receipt,2011-10-27T08:39:02.930+02:00,Resource06,complete
case-10127,T06 Determine necessity of stop advice,2011-10-27T08:39:43.531+02:00,Resource06,complete
case-10127,T10 Determine necessity to stop indication,2011-10-27T08:40:03.485+02:00,Resource06,complete
case-10134,Confirmation of receipt,2011-10-26T15:04:21.840+02:00,Resource03,complete
case-10134,T02 Check confirmation of receipt,2011-10-26T15:04:43.045+02:00,Resource03,complete
case-10134,T04 Determine confirmation of receipt,2011-10-26T15:05:00.324+02:00,Resource03,complete
case-10134,T05 Print and send confirmation of receipt,2011-10-26T15:05:19.716+02:00,Resource03,complete
case-10134,T06 Determine necessity of stop advice,2011-10-26T15:05:34.867+02:00,Resource03,complete
case-10134,T10 Determine necessity to stop indication,2011-10-26T15:05:59.098+02:00,Resource03,complete
case-10136,Confirmation of receipt,2011-10-26T15:40:46.193+02:00,Resource03,complete
case-10136,T06 Determine necessity of stop advice,2011-10-26T15:41:05.144+02:00,Resource03,complete
case-10136,T02 Check confirmation of receipt,2011-10-26T15:41:23.359+02:00,Resource03,complete
case-10136,T04 Determine confirmation of receipt,2011-10-26T15:41:39.797+02:00,Resource03,complete
case-10136,T05 Print and send confirmation of receipt,2011-10-26T15:41:56.091+02:00,Resource03,complete
case-10136,T10 Determine necessity to stop indication,2011-10-26T15:42:22.465+02:00,Resource03,complete
case-10138,Confirmation of receipt,2011-12-08T14:52:51.432+01:00,Resource12,complete
case-10138,T02 Check confirmation of receipt,2011-12-08T14:53:26.952+01:00,Resource12,complete
case-10138,T04 Determine confirmation of receipt,2011-12-08T14:53:55.363+01:00,Resource12,complete
case-10138,T06 Determine necessity of stop advice,2011-12-08T14:55:00.037+01:00,Resource12,complete
case-10138,T10 Determine necessity to stop indication,2011-12-08T14:55:37.151+01:00,Resource12,complete
case-10138,T05 Print and send confirmation of receipt,2011-12-14T13:36:32.274+01:00,admin1,complete
case-10139,Confirmation of receipt,2011-10-21T10:07:16.084+02:00,admin2,complete
case-10146,Confirmation of receipt,2011-11-07T15:24:56.152+01:00,Resource03,complete
case-10146,T02 Check confirmation of receipt,2011-11-07T15:25:45.882+01:00,Resource03,complete
case-10146,T04 Determine confirmation of receipt,2011-11-16T12:05:43.389+01:00,Resource03,complete
case-10146,T05 Print and send confirmation of receipt,2011-11-16T12:06:16.314+01:00,Resource03,complete
case-10146,T06 Determine necessity of stop advice,2011-11-16T12:06:32.021+01:00,Resource03,complete
case-10146,T10 Determine necessity to stop indication,2011-11-16T12:07:02.208+01:00,Resource03,complete
case-10147,Confirmation of receipt,2011-10-26T16:07:55.282+02:00,Resource03,complete
case-10147,T02 Check confirmation of receipt,2011-10-26T16:10:03.859+02:00,Resource03,complete
case-10147,T04 Determine confirmation of receipt,2011-10-26T16:10:19.743+02:00,Resource03,complete
case-10147,T05 Print and send confirmation of receipt,2011-10-26T16:10:44.250+02:00,Resource03,complete
case-10147,T06 Determine necessity of stop advice,2011-10-26T16:10:58.544+02:00,Resource03,complete
case-10147,T10 Determine necessity to stop indication,2011-10-26T16:11:19.812+02:00,Resource03,complete
case-10159,Confirmation of receipt,2011-11-10T11:00:39.952+01:00,Resource03,complete
case-10159,T02 Check confirmation of receipt,2011-11-10T11:01:15.080+01:00,Resource03,complete
case-10159,T04 Determine confirmation of receipt,2011-11-10T11:02:07.499+01:00,Resource03,complete
case-10159,T05 Print and send confirmation of receipt,2011-11-10T11:02:24.015+01:00,Resource03,complete
case-10159,T06 Determine necessity of stop advice,2011-11-10T11:02:41.340+01:00,Resource03,complete
case-10159,T10 Determine necessity to stop indication,2011-11-10T11:03:55.840+01:00,Resource03,complete
case-10160,Confirmation of receipt,2011-10-25T15:20:00.343+02:00,Resource02,complete
case-10160,T02 Check confirmation of receipt,2011-10-25T15:21:08.384+02:00,Resource02,complete
case-10160,T04 Determine confirmation of receipt,2011-10-25T15:21:33.582+02:00,Resource02,complete
case-10160,T05 Print and send confirmation of receipt,2011-10-25T15:22:26.004+02:00,Resource02,complete
case-10160,T06 Determine necessity of stop advice,2011-10-25T15:24:25.818+02:00,Resource02,complete
case-10163,Confirmation of receipt,2011-10-27T10:17:24.156+02:00,admin2,complete
case-10164,Confirmation of receipt,2011-10-27T11:02:53.821+02:00,Resource01,complete
case-10164,T02 Check confirmation of receipt,2011-10-27T11:18:08.789+02:00,Resource32,complete
case-10164,T06 Determine necessity of stop advice,2011-11-18T16:02:51.452+01:00,admin2,complete
case-10164,T04 Determine confirmation of receipt,2011-11-18T16:02:52.082+01:00,admin2,complete
case-10183,Confirmation of receipt,2011-12-09T14:16:10.879+01:00,Resource09,complete
case-10183,T02 Check confirmation of receipt,2011-12-09T14:16:39.383+01:00,Resource09,complete
case-10183,T04 Determine confirmation of receipt,2011-12-09T14:17:02.175+01:00,Resource09,complete
case-10183,T06 Determine necessity of stop advice,2011-12-09T14:17:35.863+01:00,Resource09,complete
case-10183,T10 Determine necessity to stop indication,2011-12-09T14:24:28.994+01:00,Resource09,complete
case-10183,T05 Print and send confirmation of receipt,2011-12-09T14:30:04.403+01:00,Resource09,complete
case-10194,Confirmation of receipt,2012-01-17T11:28:47.373+01:00,admin2,complete
case-10195,Confirmation of receipt,2012-01-17T11:29:39.271+01:00,admin2,complete
case-10196,Confirmation of receipt,2011-11-07T08:53:41.967+01:00,Resource23,complete
case-10196,T02 Check confirmation of receipt,2011-11-07T08:59:27.936+01:00,Resource23,complete
case-10196,T04 Determine confirmation of receipt,2011-11-07T08:59:55.396+01:00,Resource23,complete
case-10196,T05 Print and send confirmation of receipt,2011-11-07T09:00:26.195+01:00,Resource23,complete
case-10196,T06 Determine necessity of stop advice,2011-11-07T09:03:53.415+01:00,Resource23,complete
case-10196,T10 Determine necessity to stop indication,2011-11-07T09:04:19.919+01:00,Resource23,complete
case-10198,Confirmation of receipt,2011-11-07T15:41:35.421+01:00,Resource03,complete
case-10198,T06 Determine necessity of stop advice,2011-11-07T15:42:00.650+01:00,Resource03,complete
case-10198,T02 Check confirmation of receipt,2011-11-07T15:42:25.734+01:00,Resource03,complete
case-10198,T04 Determine confirmation of receipt,2011-11-07T15:42:53.160+01:00,Resource03,complete
case-10198,T05 Print and send confirmation of receipt,2011-11-07T15:43:09.610+01:00,Resource03,complete
case-10198,T10 Determine necessity to stop indication,2011-11-07T15:43:33.300+01:00,Resource03,complete
case-10199,Confirmation of receipt,2011-10-31T12:27:03.433+01:00,Resource13,complete
case-10199,T02 Check confirmation of receipt,2011-10-31T12:27:59.136+01:00,Resource13,complete
case-10199,T04 Determine confirmation of receipt,2011-10-31T12:29:26.336+01:00,Resource13,complete
case-10199,T05 Print and send confirmation of receipt,2011-10-31T12:30:30.258+01:00,Resource13,complete
case-10199,T06 Determine necessity of stop advice,2011-10-31T12:30:58.868+01:00,Resource13,complete
case-10199,T10 Determine necessity to stop indication,2011-10-31T12:31:26.913+01:00,Resource13,complete
case-10202,Confirmation of receipt,2011-11-11T11:26:45.553+01:00,Resource23,complete
case-10202,T02 Check confirmation of receipt,2011-11-11T11:27:13.213+01:00,Resource23,complete
case-10202,T04 Determine confirmation of receipt,2011-11-11T11:27:35.312+01:00,Resource23,complete
case-10202,T05 Print and send confirmation of receipt,2011-11-11T11:28:32.859+01:00,Resource23,complete
case-10202,T06 Determine necessity of stop advice,2011-11-11T11:28:54.141+01:00,Resource23,complete
case-10202,T10 Determine necessity to stop indication,2011-11-11T11:29:22.728+01:00,Resource23,complete
case-10210,Confirmation of receipt,2011-11-02T16:23:22.365+01:00,admin2,complete
case-10211,Confirmation of receipt,2011-11-07T16:10:25.162+01:00,Resource03,complete
case-10211,T02 Check confirmation of receipt,2011-11-07T16:10:46.884+01:00,Resource03,complete
case-10211,T04 Determine confirmation of receipt,2011-11-07T16:11:03.116+01:00,Resource03,complete
case-10211,T05 Print and send confirmation of receipt,2011-11-07T16:11:17.467+01:00,Resource03,complete
case-10211,T06 Determine necessity of stop advice,2011-11-07T16:11:33.028+01:00,Resource03,complete
case-10211,T10 Determine necessity to stop indication,2011-11-07T16:11:56.020+01:00,Resource03,complete
case-10218,Confirmation of receipt,2011-11-07T16:38:30.783+01:00,Resource03,complete
case-10218,T02 Check confirmation of receipt,2011-11-07T16:39:57.124+01:00,Resource03,complete
case-10218,T04 Determine confirmation of receipt,2011-11-07T16:40:14.204+01:00,Resource03,complete
case-10218,T05 Print and send confirmation of receipt,2011-11-07T16:40:27.744+01:00,Resource03,complete
case-10218,T06 Determine necessity of stop advice,2011-11-07T16:40:42.920+01:00,Resource03,complete
case-10218,T10 Determine necessity to stop indication,2011-11-07T16:41:08.668+01:00,Resource03,complete
case-10220,Confirmation of receipt,2011-11-08T09:00:30.827+01:00,Resource03,complete
case-10220,T02 Check confirmation of receipt,2011-11-08T09:01:19.566+01:00,Resource03,complete
case-10220,T04 Determine confirmation of receipt,2011-11-08T09:01:39.235+01:00,Resource03,complete
case-10220,T05 Print and send confirmation of receipt,2011-11-08T09:01:56.265+01:00,Resource03,complete
case-10220,T06 Determine necessity of stop advice,2011-11-08T09:02:13.352+01:00,Resource03,complete
case-10220,T10 Determine necessity to stop indication,2011-11-08T09:02:42.865+01:00,Resource03,complete
case-10221,Confirmation of receipt,2011-11-29T12:27:58.006+01:00,Resource14,complete
case-10221,T02 Check confirmation of receipt,2011-11-29T12:29:42.082+01:00,Resource14,complete
case-10221,T04 Determine confirmation of receipt,2011-11-29T12:30:24.691+01:00,Resource14,complete
case-10221,T05 Print and send confirmation of receipt,2011-11-29T12:30:47.253+01:00,Resource14,complete
case-10221,T06 Determine necessity of stop advice,2011-11-29T12:41:42.876+01:00,Resource14,complete
case-10221,T10 Determine necessity to stop indication,2011-11-29T12:43:19.895+01:00,Resource14,complete
case-10222,Confirmation of receipt,2011-11-24T14:48:41.587+01:00,Resource22,complete
case-10222,T02 Check confirmation of receipt,2011-11-24T14:49:36.208+01:00,Resource22,complete
case-10222,T04 Determine confirmation of receipt,2011-11-24T14:50:25.478+01:00,Resource22,complete
case-10222,T05 Print and send confirmation of receipt,2011-11-24T14:51:41.327+01:00,Resource22,complete
case-10222,T06 Determine necessity of stop advice,2011-11-24T15:25:55.356+01:00,Resource22,complete
case-10222,T10 Determine necessity to stop indication,2011-11-24T15:27:02.129+01:00,Resource22,complete
case-10223,Confirmation of receipt,2011-11-08T09:18:47.312+01:00,Resource03,complete
case-10223,T02 Check confirmation of receipt,2011-11-08T09:20:22.751+01:00,Resource03,complete
case-10223,T04 Determine confirmation of receipt,2011-11-08T09:20:41.418+01:00,Resource03,complete
case-10223,T05 Print and send confirmation of receipt,2011-11-08T09:20:56.808+01:00,Resource03,complete
case-10223,T06 Determine necessity of stop advice,2011-11-08T09:21:16.142+01:00,Resource03,complete
case-10223,T10 Determine necessity to stop indication,2011-11-08T09:21:43.487+01:00,Resource03,complete
case-10225,Confirmation of receipt,2011-12-07T09:11:29.887+01:00,Resource14,complete
case-10225,T06 Determine necessity of stop advice,2011-12-07T10:01:02.208+01:00,Resource14,complete
